City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,smedjebacken,60.1418,15.4142,278.36,97,100,1.25,SE,1699653037
83,nyandoma,61.669,40.1991,275.37,95,100,3.47,RU,1699653037
84,magdagachi,53.45,125.8,259.72,68,25,2.65,RU,1699653037
85,indapur,18.3,73.25,297.32,72,85,1.02,IN,1699653038
86,shingu,33.7333,135.9833,285.68,85,95,2.94,JP,1699653038
87,olinda,-8.0089,-34.8553,301.0,65,40,4.63,BR,1699653038
88,bethel,41.3712,-73.414,283.62,59,100,0.45,US,1699652859
89,west island,-12.1568,96.8225,299.14,89,40,5.14,CC,1699653038
90,holma,9.9008,13.0567,299.29,29,76,1.55,NG,1699653038
91,new norfolk,-42.7826,147.0587,290.88,56,65,3.34,AU,1699653038
92,ribeira brava,32.65,-17.0667,294.66,79,43,1.27,PT,1699653039
93,prainha,-1.8,-53.48,304.95,43,17,2.81,BR,1699653039
94,wau,7.7029,27.9953,297.64,80,97,0.7,SS,1699653039
95,leua,48.2156,18.6071,283.43,92,100,2.96,SK,1699653039
96,anori,-3.7728,-61.6442,304.49,39,10,1.9,BR,1699653039
97,cestos city,5.46,-9.5828,298.96,88,86,3.45,LR,1699653040
98,buurhakaba,2.8026,44.0781,297.65,86,82,5.24,SO,1699653040
99,sterling,39.0062,-77.4286,280.7,87,100,2.06,US,1699653040
100,shendi,16.6915,33.4341,303.83,37,26,5.67,SD,1699653040
101,blackmans bay,-43.0167,147.3167,290.22,81,65,0.89,AU,1699653041
102,griffith,41.5284,-87.4237,281.07,55,0,6.17,US,1699653041
103,fale old settlement,-9.3852,-171.2468,301.66,79,41,4.85,TK,1699653041
104,enriquillo,17.9,-71.2333,300.97,79,1,6.17,DO,1699653041
105,wailua homesteads,22.0669,-159.378,300.59,74,40,6.69,US,1699653041
106,port alfred,-33.5906,26.891,292.93,88,23,4.76,ZA,1699653042
107,lautoka,-17.6167,177.4667,302.07,58,40,6.17,FJ,1699653042
108,la gi,10.6667,107.7833,298.19,88,100,4.08,VN,1699653042
109,squamish,49.7014,-123.1512,283.21,94,100,3.09,CA,1699653042
110,antsiranana,-12.2787,49.2917,297.52,89,16,1.96,MG,1699653042
111,lazaro cardenas,17.9583,-102.2,301.89,74,10,2.41,MX,1699652876
112,emerald,-23.5333,148.1667,296.12,63,25,4.32,AU,1699653042
113,onega,63.9061,38.1404,275.41,98,100,3.39,RU,1699653043
114,chos malal,-37.3781,-70.2709,289.9,39,56,13.4,AR,1699653043
